object,type,collections,geometry_status,mass_status,material_status,cfd_status,structure_status,manufacturer_status
BATTERY_TRAY,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_01,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_02,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_03,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_04,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_05,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BAT_MOD_06,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BMS_CONTROLLER,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
BOAT_ROOT,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
BOAT_V0_MASTER_PARAMETERS,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
BezierCurve,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CAM_BATTERY_SEC,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_BOW_3Q,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_BOW_THREEQUARTER,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_CONSOLE,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_FRONT,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_HELM,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_ISOMETRIC_PORT,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_ISOMETRIC_STARBD,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_ISOMETRIC_STARBOARD,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_PROFILE_PORT,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_PROFILE_STARBOARD,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_STERN_3Q,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_STERN_THREEQUARTER,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_TOP,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CAM_TRANSOM,CAMERA,14_CAMERAS,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CG_BATTERY,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CG_PASSENGERS,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CG_PROPULSION,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
CG_TOTAL,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
COMP_BATTERY_ZONE,MESH,02_COMPARTMENTS,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
COMP_BOW_LOCKER,MESH,02_COMPARTMENTS,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
COMP_CONSOLE_ZONE,MESH,02_COMPARTMENTS,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
COMP_ENGINE_ROOM,MESH,02_COMPARTMENTS,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
COMP_WORK_AREA,MESH,02_COMPARTMENTS,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CONSOLE_BODY,MESH,03_CONSOLE,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CONSOLE_CIRCULAR_HATCH,MESH,03_CONSOLE,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CONSOLE_DASHBOARD,MESH,03_CONSOLE,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CONSOLE_WINDSHIELD,MESH,03_CONSOLE,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
COUPLING,MESH,07_PROPULSION_INBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
CURRENT_SENSOR,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Camera,CAMERA,Collection 1,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
Cube,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cube.001,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cube.002,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cube.004,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cube.005,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cylinder,MESH,03_CONSOLE,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cylinder.001,MESH,Collection 1,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Cylinder.002,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DATUM_BOW_LIMIT,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DATUM_CENTERLINE,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DATUM_DECK_REFERENCE,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DATUM_STERN_LIMIT,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DATUM_TRANSOM_PLANE,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DATUM_WATERLINE_REFERENCE,EMPTY,00_DATUM,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
DECK_AFT,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DECK_BOW,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DECK_HATCH_BATTERY,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DECK_HATCH_ENGINE,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DECK_MID,MESH,02_DECK,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
DRIVE_SELECTOR,MESH,09_HELM_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
ELECTRONIC_THROTTLE,MESH,09_HELM_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HARDTOP_SHELL,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HARDTOP_SUPPORT_PORT,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HARDTOP_SUPPORT_STARBOARD,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HULL_MAIN,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HULL_MAIN.001,MESH,01_HULL,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_CABLE_BATTERY_TO_JUNCTION,CURVE,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_CABLE_INVERTER_TO_MOTOR,CURVE,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_CABLE_JUNCTION_TO_INVERTER,CURVE,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_CONTACTOR,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_EMERGENCY_DISCONNECT,MESH,09_HELM_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_JUNCTION_BOX,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
HV_MAIN_FUSE,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
INBOARD_MOTOR,MESH,07_PROPULSION_INBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
INVERTER_INBOARD,MESH,07_PROPULSION_INBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
LCB_ESTIMATED,EMPTY,00_REFERENCE,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
Lamp,LIGHT,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
Lamp.001,LIGHT,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
MFD_BMS,MESH,09_HELM_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
MFD_NAV,MESH,09_HELM_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
OUTBOARD_CENTER_BRACKET,MESH,08_PROPULSION_OUTBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
OUTBOARD_ELECTRIC_MOTOR,MESH,08_PROPULSION_OUTBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PERSON_50_PERCENTILE,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,MISSING,PENDING,PENDING,NOT_DEFINED
PROPELLER,MESH,07_PROPULSION_INBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_BATTERY_ENVELOPE,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_BMS_ENVELOPE,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_HARDTOP,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_HELM_OPERATOR,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_INBOARD_MOTOR,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_INVERTER_ENVELOPE,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_OUTBOARD_CLEARANCE,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_SHAFT_CORRIDOR,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
PROXY_SOLAR_AREA,MESH,00_ENGINEERING_PROXIES,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Plane,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Plane.001,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Plane.002,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
Plane.003,MESH,00_ORIGINAL_UNUSED,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SERVICE_DISCONNECT,MESH,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SHAFT_MAIN,MESH,07_PROPULSION_INBOARD,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_CABLE_ROUTING,CURVE,06_ENERGY_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_01,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_02,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_03,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_04,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_05,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
SOLAR_PANEL_06,MESH,05_SOLAR_SYSTEM,ASSUMPTION,MISSING,DEFINED,PENDING,PENDING,NOT_DEFINED
