object,type,mass_kg,cg_x_m,cg_y_m,cg_z_m,category,source,confidence
BATTERY_TRAY,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_01,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_02,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_03,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_04,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_05,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BAT_MOD_06,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BMS_CONTROLLER,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BOAT_ROOT,EMPTY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BOAT_V0_MASTER_PARAMETERS,EMPTY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
BezierCurve,MESH,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_BATTERY_SEC,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_BOW_3Q,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_BOW_THREEQUARTER,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_CONSOLE,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_FRONT,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_HELM,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_ISOMETRIC_PORT,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_ISOMETRIC_STARBD,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_ISOMETRIC_STARBOARD,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_PROFILE_PORT,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_PROFILE_STARBOARD,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_STERN_3Q,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CAM_STERN_THREEQUARTER,CAMERA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
