case_id,component_id,area,kind,role,environment,scenario,primary_stream,priority,multitenant,external_dependency,mutable,allowed_role,iso_25010_focus,iso_29119_artifact,security_reference,source_family,local_ref,preconditions,expected_result,description,source_refs
UC-00001,AUTH_LOGIN,auth,router,anonymous,development,happy_path,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,"Operation succeeds, contract is respected, and audit/state changes occur when mutable.","Validate AUTH_LOGIN for role=anonymous, env=development, scenario=happy_path using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00002,AUTH_LOGIN,auth,router,anonymous,development,missing_required,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,Validation error is returned without corrupting persisted state.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=missing_required using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00003,AUTH_LOGIN,auth,router,anonymous,development,invalid_format,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,Input is rejected with explicit validation feedback and no unsafe fallback.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=invalid_format using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00004,AUTH_LOGIN,auth,router,anonymous,development,boundary_min,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,Minimum valid payload or state is processed consistently with documented defaults.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=boundary_min using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00005,AUTH_LOGIN,auth,router,anonymous,development,boundary_max,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,"Upper-bound payload is handled without truncation, timeout, or silent data loss.","Validate AUTH_LOGIN for role=anonymous, env=development, scenario=boundary_max using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00006,AUTH_LOGIN,auth,router,anonymous,development,unauthorized,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,Unauthorized access is blocked with 401/403/redirect and no data disclosure.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=unauthorized using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00007,AUTH_LOGIN,auth,router,anonymous,development,cross_tenant,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,No tenant boundary bypass is possible; unrelated records remain hidden.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=cross_tenant using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00008,AUTH_LOGIN,auth,router,anonymous,development,duplicate_request,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,Duplicate request is idempotent or rejected deterministically without double effects.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=duplicate_request using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00009,AUTH_LOGIN,auth,router,anonymous,development,external_timeout,functional,critical,no,no,yes,yes,"functional_suitability,reliability",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,Component remains stable even when dependent collaborators are unavailable.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=external_timeout using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00010,AUTH_LOGIN,auth,router,anonymous,development,regression_route_guard,regression,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN;previously_verified_baseline_available,Previously protected flow remains protected after code or config changes.,"Validate AUTH_LOGIN for role=anonymous, env=development, scenario=regression_route_guard using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00011,AUTH_LOGIN,auth,router,anonymous,development,security_abuse,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=anonymous;component=AUTH_LOGIN,"Abuse is rate-limited, rejected, logged, or neutralized without compromising integrity.","Validate AUTH_LOGIN for role=anonymous, env=development, scenario=security_abuse using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00012,AUTH_LOGIN,auth,router,anonymous,PRECERT,happy_path,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,"Operation succeeds, contract is respected, and audit/state changes occur when mutable.","Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=happy_path using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00013,AUTH_LOGIN,auth,router,anonymous,PRECERT,missing_required,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,Validation error is returned without corrupting persisted state.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=missing_required using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00014,AUTH_LOGIN,auth,router,anonymous,PRECERT,invalid_format,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,Input is rejected with explicit validation feedback and no unsafe fallback.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=invalid_format using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00015,AUTH_LOGIN,auth,router,anonymous,PRECERT,boundary_min,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,Minimum valid payload or state is processed consistently with documented defaults.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=boundary_min using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00016,AUTH_LOGIN,auth,router,anonymous,PRECERT,boundary_max,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,"Upper-bound payload is handled without truncation, timeout, or silent data loss.","Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=boundary_max using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00017,AUTH_LOGIN,auth,router,anonymous,PRECERT,unauthorized,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,Unauthorized access is blocked with 401/403/redirect and no data disclosure.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=unauthorized using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00018,AUTH_LOGIN,auth,router,anonymous,PRECERT,cross_tenant,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,No tenant boundary bypass is possible; unrelated records remain hidden.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=cross_tenant using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00019,AUTH_LOGIN,auth,router,anonymous,PRECERT,duplicate_request,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,Duplicate request is idempotent or rejected deterministically without double effects.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=duplicate_request using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00020,AUTH_LOGIN,auth,router,anonymous,PRECERT,external_timeout,functional,critical,no,no,yes,yes,"functional_suitability,reliability",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,Component remains stable even when dependent collaborators are unavailable.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=external_timeout using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00021,AUTH_LOGIN,auth,router,anonymous,PRECERT,regression_route_guard,regression,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN;previously_verified_baseline_available,Previously protected flow remains protected after code or config changes.,"Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=regression_route_guard using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00022,AUTH_LOGIN,auth,router,anonymous,PRECERT,security_abuse,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=anonymous;component=AUTH_LOGIN,"Abuse is rate-limited, rejected, logged, or neutralized without compromising integrity.","Validate AUTH_LOGIN for role=anonymous, env=PRECERT, scenario=security_abuse using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00023,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,happy_path,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,"Operation succeeds, contract is respected, and audit/state changes occur when mutable.","Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=happy_path using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00024,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,missing_required,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,Validation error is returned without corrupting persisted state.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=missing_required using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00025,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,invalid_format,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,Input is rejected with explicit validation feedback and no unsafe fallback.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=invalid_format using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00026,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,boundary_min,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,Minimum valid payload or state is processed consistently with documented defaults.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=boundary_min using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00027,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,boundary_max,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,"Upper-bound payload is handled without truncation, timeout, or silent data loss.","Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=boundary_max using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00028,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,unauthorized,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,Unauthorized access is blocked with 401/403/redirect and no data disclosure.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=unauthorized using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00029,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,cross_tenant,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,No tenant boundary bypass is possible; unrelated records remain hidden.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=cross_tenant using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00030,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,duplicate_request,functional,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN;baseline_record_exists,Duplicate request is idempotent or rejected deterministically without double effects.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=duplicate_request using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00031,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,external_timeout,functional,critical,no,no,yes,yes,"functional_suitability,reliability",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,Component remains stable even when dependent collaborators are unavailable.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=external_timeout using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00032,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,regression_route_guard,regression,critical,no,no,yes,yes,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN;previously_verified_baseline_available,Previously protected flow remains protected after code or config changes.,"Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=regression_route_guard using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
